Attack_ID,Company_Name,Industry,Country,Attack_Date,Ransomware_Group,Attack_Vector,Ransom_Amount_USD,Payment_Status,Data_Exfiltration,Downtime_Days,Records_Affected,Estimated_Total_Loss_USD,Severity_Score
RA-100085,"Welch, Weaver and Stark",Technology,Canada,2021-09-12,Hive,Credential Theft,3936723,Unknown,No,45,2551001,5414170,13.24
RA-100086,Vega-Cobb,Manufacturing,Japan,2021-06-14,REvil,Phishing Email,339376,Paid,Yes,57,3624219,1889805,12.51
RA-100087,Thompson Group,Retail,Japan,2024-10-12,LockBit,RDP Exploit,4830119,Unknown,No,38,174125,6443937,10.7
RA-100088,Kane-Blair,Energy,South Africa,2026-02-20,DarkSide,Malicious Attachment,2338346,Unknown,No,12,4910200,3262463,9.05
RA-100089,"Reed, Duncan and Jones",Technology,Brazil,2022-10-20,REvil,Drive-by Download,882447,Unknown,Yes,55,1349196,1584095,10.48
RA-100090,"Gates, Mills and Spencer",Finance,India,2023-07-21,Hive,Phishing Email,743699,Unknown,No,21,2117375,1431653,6.01
RA-100091,Murphy Group,Energy,Brazil,2021-04-22,LockBit,RDP Exploit,1578556,Negotiated,Yes,34,3034925,2894313,9.71
RA-100092,Fleming-Garcia,Healthcare,Japan,2026-03-15,Conti,Drive-by Download,2421163,Not Paid,No,29,4066157,2685811,10.84
RA-100093,"Adams, Peters and Robinson",Government,South Africa,2024-02-03,DarkSide,Phishing Email,119709,Not Paid,No,36,3422573,325182,8.94
RA-100094,Glenn Inc,Energy,Brazil,2025-01-07,Conti,Zero-Day Exploit,2453312,Not Paid,No,33,2293754,3334658,9.7
RA-100095,Contreras-Thornton,Finance,Canada,2022-01-26,Ryuk,Malicious Attachment,4268433,Negotiated,Yes,48,1145214,6090428,12.61
RA-100096,"Cooper, Mckinney and Henderson",Energy,United Kingdom,2022-08-03,DarkSide,Credential Theft,2509467,Unknown,No,54,4923690,3735654,15.53
RA-100097,Clark-Lane,Energy,Australia,2022-11-12,Conti,Drive-by Download,4634818,Not Paid,No,49,4558721,5435884,16.54
RA-100098,"Anderson, Cruz and Davis",Energy,India,2022-04-24,Ryuk,Drive-by Download,3450831,Not Paid,No,3,2669156,5022590,6.57
RA-100099,Gordon-Morales,Finance,Brazil,2021-03-17,BlackCat,Credential Theft,1064030,Unknown,Yes,33,4950892,1770273,10.96
RA-100100,"Martinez, Lin and Kane",Energy,Canada,2025-01-19,Maze,Credential Theft,1214263,Unknown,Yes,27,1294975,1381189,6.56
RA-100101,"Simpson, Robles and Luna",Manufacturing,Brazil,2025-10-11,Hive,Phishing Email,2761207,Paid,Yes,55,4476448,3568144,15.49
RA-100102,Stephenson Group,Finance,South Africa,2024-07-16,DarkSide,RDP Exploit,2415709,Negotiated,Yes,15,758256,3335813,5.42
RA-100103,"Walker, Butler and Mendoza",Manufacturing,Australia,2021-04-05,Ryuk,RDP Exploit,2726051,Not Paid,No,51,470862,3351287,10.85
RA-100104,Palmer PLC,Hospitality,India,2024-03-05,Akira,Drive-by Download,1515426,Not Paid,No,11,1468688,1691034,4.63
RA-100105,"Johnson, Davis and Espinoza",Retail,Brazil,2026-02-13,REvil,Drive-by Download,4896876,Paid,No,10,1947837,5873977,8.34
RA-100106,Dodson-Johnston,Finance,Brazil,2026-01-20,Maze,Credential Theft,2417829,Negotiated,No,44,4585297,2759127,13.6
RA-100107,"Castillo, Hendricks and Rich",Technology,Brazil,2024-11-14,BlackCat,RDP Exploit,2102975,Unknown,No,30,2534480,2530763,9.14
RA-100108,Johnson Inc,Technology,Canada,2024-03-23,LockBit,Credential Theft,2486957,Paid,No,45,2476675,2542967,11.71
RA-100109,"Romero, Hall and Medina",Manufacturing,Germany,2025-09-02,Conti,Credential Theft,2405770,Negotiated,Yes,50,1930472,3688877,11.84
RA-100110,"Fisher, Davis and Porter",Energy,United States,2024-07-10,Akira,Malicious Attachment,820070,Not Paid,Yes,58,330800,1477949,9.85
RA-100111,Nelson and Sons,Government,United Kingdom,2026-02-06,Hive,Malicious Attachment,2480565,Negotiated,Yes,21,3485592,2858908,9.12
RA-100112,"Taylor, Harris and Hughes",Manufacturing,South Africa,2022-06-11,DarkSide,Phishing Email,4047032,Not Paid,Yes,52,2475925,5622680,14.32
RA-100113,Smith and Sons,Finance,India,2025-10-28,LockBit,Malicious Attachment,3338729,Paid,No,55,4675177,4115814,16.26
RA-100114,Weaver-Williams,Manufacturing,South Africa,2023-01-25,Conti,Zero-Day Exploit,2204169,Paid,No,38,3196373,3938903,11.1
RA-100115,Dennis Ltd,Energy,Canada,2026-02-18,Ryuk,Phishing Email,1861962,Not Paid,Yes,42,530402,3204500,8.69
RA-100116,"Garcia, Love and Murphy",Government,France,2021-03-18,Clop,Zero-Day Exploit,2558195,Unknown,No,32,974189,2772021,8.33
RA-100117,"Morris, Sutton and Ward",Education,India,2024-10-05,BlackCat,Zero-Day Exploit,4536463,Unknown,No,27,4927067,6103113,13.51
RA-100118,Baker Group,Government,Australia,2021-03-09,BlackCat,Drive-by Download,3113230,Negotiated,No,14,3719466,4055824,8.93
RA-100119,Goodman-Taylor,Energy,South Africa,2021-05-05,Conti,Drive-by Download,3344837,Paid,Yes,18,1592329,3611024,7.64
RA-100120,Jimenez-Eaton,Hospitality,Germany,2025-05-31,BlackCat,Credential Theft,2802677,Not Paid,Yes,16,1056426,4463089,6.26
RA-100121,Rowland-Mora,Hospitality,United States,2025-07-24,REvil,RDP Exploit,1959534,Not Paid,No,22,1237874,3623439,6.5
RA-100122,Brown Ltd,Healthcare,Australia,2025-06-24,Conti,Credential Theft,1468787,Negotiated,Yes,8,216359,1755198,2.89
RA-100123,Moore Inc,Technology,France,2021-12-23,BlackCat,Drive-by Download,2231064,Paid,No,4,1063427,3796559,3.89
RA-100124,Anderson-Smith,Energy,France,2023-07-08,Conti,Credential Theft,3042003,Paid,No,33,4980131,3280705,12.97
RA-100125,Flores Group,Technology,India,2023-07-28,BlackCat,Zero-Day Exploit,266310,Unknown,Yes,4,4018091,2053223,4.88
RA-100126,Lee Ltd,Education,Canada,2026-01-16,Akira,Drive-by Download,682719,Negotiated,No,21,1244414,830464,5.08
RA-100127,Smith-Wallace,Hospitality,India,2024-05-08,BlackCat,Drive-by Download,4455633,Paid,Yes,19,3806140,5525850,11.11
RA-100128,"Stewart, Harvey and Moore",Manufacturing,Brazil,2023-05-31,Ryuk,Zero-Day Exploit,3792917,Paid,No,57,1916843,4670746,14.26
RA-100129,Robinson-Mitchell,Education,Brazil,2023-05-25,BlackCat,Phishing Email,2626637,Paid,Yes,43,2138270,3421603,11.21
RA-100130,Higgins PLC,Education,France,2023-06-04,LockBit,Credential Theft,815041,Negotiated,Yes,48,3126088,2527444,11.14
RA-100131,"Morris, Simmons and Phillips",Healthcare,Canada,2023-04-22,Akira,Malicious Attachment,2971195,Negotiated,Yes,56,3547951,4801716,14.92
RA-100132,"Blackburn, Herrera and Vasquez",Energy,Germany,2024-03-29,BlackCat,Malicious Attachment,4261484,Negotiated,Yes,14,1298070,5648759,7.66
RA-100133,Johnson-Riddle,Technology,France,2025-04-11,Akira,Credential Theft,2341799,Paid,No,37,1897259,4044664,9.79
RA-100134,Williams-Miller,Manufacturing,Australia,2021-03-01,LockBit,RDP Exploit,1518439,Not Paid,No,18,2592051,3461043,6.81
RA-100135,"Moore, Jordan and Jones",Transportation,Germany,2021-05-23,Ryuk,Zero-Day Exploit,1195130,Unknown,No,48,257270,1397559,8.65
RA-100136,Ross and Sons,Hospitality,Japan,2021-11-19,BlackCat,Phishing Email,3109230,Not Paid,Yes,20,2721220,4748372,8.83
RA-100137,Smith-Pittman,Energy,India,2025-03-26,DarkSide,Credential Theft,422438,Unknown,No,44,684455,1003079,7.71
RA-100138,Paul Ltd,Manufacturing,India,2022-07-14,BlackCat,Malicious Attachment,1813323,Unknown,No,49,4297972,2062015,13.46
RA-100139,"Barry, Walker and Baker",Government,Canada,2021-04-04,Conti,RDP Exploit,1854842,Negotiated,No,26,459644,1880962,6.21
RA-100140,Anderson PLC,Technology,United Kingdom,2022-11-03,Clop,Zero-Day Exploit,1011501,Not Paid,No,1,4172470,2588103,5.33
RA-100141,Lamb PLC,Healthcare,Brazil,2021-05-28,BlackCat,Malicious Attachment,3335874,Unknown,No,56,354957,4260692,12.09
RA-100142,Turner and Sons,Healthcare,Australia,2024-12-24,Clop,Credential Theft,3508870,Unknown,No,19,966244,4368284,7.33
RA-100143,Keller-Erickson,Technology,Japan,2021-06-30,Ryuk,Credential Theft,3668403,Paid,No,55,888144,4188674,12.81
RA-100144,Hoover-Cook,Manufacturing,United Kingdom,2025-11-18,BlackCat,Credential Theft,2607771,Paid,Yes,48,2848143,3082441,12.66
RA-100145,"Garcia, Wilson and Jones",Finance,United Kingdom,2026-01-30,REvil,RDP Exploit,2935772,Not Paid,Yes,23,1239012,3441263,7.62
RA-100146,"Bishop, Levy and Schultz",Hospitality,Japan,2025-04-06,DarkSide,Drive-by Download,637109,Negotiated,No,12,4145054,1620089,6.58
RA-100147,Anderson Ltd,Retail,Canada,2021-11-06,Akira,Phishing Email,3693997,Negotiated,Yes,5,3933695,4631374,8.38
RA-100148,Graves Inc,Manufacturing,Canada,2022-09-28,BlackCat,Drive-by Download,3878376,Paid,No,29,315572,4007683,8.54
RA-100149,"Gordon, Lloyd and Dalton",Hospitality,Germany,2023-08-06,Maze,Credential Theft,4873155,Unknown,Yes,36,344223,5826314,10.62
RA-100150,Murphy-Wilcox,Finance,France,2021-05-07,Clop,Phishing Email,3784261,Not Paid,No,7,2881064,5292289,7.72
RA-100151,Becker Group,Manufacturing,Canada,2023-06-19,Ryuk,Zero-Day Exploit,4401205,Negotiated,Yes,34,1331759,5174354,10.83
RA-100152,Blake Group,Transportation,India,2025-06-05,REvil,Malicious Attachment,2812242,Not Paid,No,5,2765746,3020435,6.33
RA-100153,Wyatt PLC,Manufacturing,Canada,2021-06-16,Ryuk,RDP Exploit,4893373,Paid,No,43,1186487,6825929,12.53
RA-100154,"Frey, Noble and Jones",Education,France,2024-02-19,BlackCat,Drive-by Download,3164815,Unknown,No,42,2755561,4880187,12.22
RA-100155,"Ramirez, George and Gutierrez",Manufacturing,Brazil,2021-02-07,Conti,RDP Exploit,3046689,Not Paid,Yes,20,1512254,3505883,7.56
RA-100156,Cox-Leblanc,Transportation,France,2021-06-08,LockBit,Drive-by Download,2486283,Negotiated,Yes,55,848530,3560985,11.58
RA-100157,Diaz and Sons,Hospitality,United Kingdom,2024-05-08,DarkSide,Phishing Email,3165155,Unknown,No,10,1361128,3554416,6.03
RA-100158,"Moore, York and Tucker",Energy,Germany,2024-10-17,Hive,RDP Exploit,1997547,Negotiated,No,29,2390248,3585425,8.74
RA-100159,Mcdowell-Rodriguez,Energy,Canada,2026-01-26,Ryuk,Credential Theft,1632525,Unknown,Yes,24,4785124,2566524,10.02
RA-100160,"Whitaker, Lewis and Holland",Retail,United States,2025-07-31,DarkSide,Malicious Attachment,1680185,Paid,Yes,52,1161071,3521002,10.64
RA-100161,"West, Leonard and Howe",Energy,France,2022-08-07,Clop,Zero-Day Exploit,708595,Paid,Yes,49,1344897,1290679,9.4
RA-100162,Calhoun-Kirby,Healthcare,India,2025-07-31,LockBit,Zero-Day Exploit,3789335,Negotiated,Yes,57,2932632,5750676,15.27
RA-100163,Holmes Ltd,Manufacturing,South Africa,2023-03-02,Maze,RDP Exploit,689556,Not Paid,Yes,24,1883667,758669,6.17
RA-100164,"Hall, Atkins and Johnson",Energy,Brazil,2022-08-11,Akira,Phishing Email,3968239,Paid,Yes,45,1164377,5569644,11.88
RA-100165,Ingram and Sons,Hospitality,France,2022-06-09,Ryuk,Phishing Email,1814043,Negotiated,Yes,54,1254361,2974968,11.17
RA-100166,Green PLC,Hospitality,Brazil,2022-09-09,BlackCat,Phishing Email,1027138,Unknown,Yes,4,2000275,1917575,3.63
RA-100167,Sherman-Alexander,Education,Canada,2024-07-18,Ryuk,Phishing Email,4328284,Negotiated,Yes,37,2029624,5845180,11.91
RA-100168,Adkins LLC,Manufacturing,South Africa,2024-03-14,Hive,Credential Theft,3499422,Paid,No,12,718281,4607248,6.02
RA-100169,Watson-Patterson,Retail,United States,2025-11-24,Maze,Phishing Email,3948778,Negotiated,Yes,3,3245495,4741649,7.64
RA-100170,Davis-Grimes,Manufacturing,United Kingdom,2025-02-10,LockBit,Malicious Attachment,874595,Negotiated,Yes,50,4881458,2426393,13.26
RA-100171,Sanchez-Vazquez,Education,United Kingdom,2025-08-28,BlackCat,Drive-by Download,3902539,Unknown,Yes,45,4014310,5237385,14.67
RA-100172,Long-Mitchell,Healthcare,Australia,2022-08-24,REvil,Credential Theft,1696067,Unknown,No,3,1673374,3563704,3.82
RA-100173,Farrell Ltd,Manufacturing,United States,2022-06-03,Maze,Malicious Attachment,312197,Paid,No,49,1603191,922215,9.27
RA-100174,Webb-Mcmillan,Technology,Australia,2023-06-14,Clop,Zero-Day Exploit,3360625,Unknown,No,48,3688878,5246815,14.25
RA-100175,Williams PLC,Technology,South Africa,2026-03-08,Ryuk,Credential Theft,4361001,Not Paid,No,18,693095,5895801,7.75
RA-100176,Lee and Sons,Retail,Canada,2022-10-20,DarkSide,Credential Theft,865653,Unknown,Yes,6,2750891,2261701,4.52
RA-100177,Rice PLC,Manufacturing,Japan,2024-11-13,Ryuk,Malicious Attachment,3728773,Paid,Yes,23,3750895,3827598,10.93
RA-100178,Bell LLC,Education,United States,2024-10-06,Clop,Credential Theft,3412538,Unknown,Yes,24,4304177,5102558,11.32
RA-100179,Alvarado Inc,Technology,Japan,2021-09-16,LockBit,Credential Theft,568994,Not Paid,No,16,3073085,1338478,6.04
RA-100180,Brown and Sons,Education,France,2023-01-30,Maze,Zero-Day Exploit,3125674,Negotiated,No,29,645061,4339275,8.12
RA-100181,Mcdaniel and Sons,Transportation,India,2022-05-27,Hive,Phishing Email,956675,Negotiated,No,2,1560784,2013246,2.82
RA-100182,"Carson, Jackson and Boyer",Energy,Germany,2024-12-12,BlackCat,RDP Exploit,3748610,Paid,No,14,2395692,5213992,8.24
RA-100183,Campos and Sons,Manufacturing,South Africa,2021-12-20,Hive,Credential Theft,3738863,Negotiated,No,6,2680996,5149424,7.32
RA-100184,Walker-Kaufman,Manufacturing,France,2025-10-10,Conti,Phishing Email,1326249,Not Paid,Yes,46,1460481,3000750,9.69
RA-100185,Gutierrez Group,Hospitality,Australia,2022-04-30,DarkSide,Credential Theft,4149156,Not Paid,Yes,2,3027519,5321023,7.48
RA-100186,Wright Inc,Technology,India,2021-05-15,Akira,Phishing Email,2599518,Not Paid,No,26,4015433,3711981,10.51
RA-100187,Delacruz PLC,Transportation,Australia,2024-08-08,Clop,Credential Theft,627141,Not Paid,Yes,29,3907792,2063432,8.88
RA-100188,Lester-Mills,Finance,France,2023-06-06,Clop,Malicious Attachment,4223327,Not Paid,Yes,59,464936,5976879,13.54
RA-100189,Kramer Group,Retail,South Africa,2022-10-23,REvil,RDP Exploit,1896381,Negotiated,Yes,23,4352930,3783176,9.7
RA-100190,Newman Group,Transportation,United Kingdom,2024-07-04,Akira,Credential Theft,2545276,Not Paid,Yes,40,4475238,2751209,13.02
RA-100191,Watkins-White,Healthcare,South Africa,2024-09-11,LockBit,Drive-by Download,2837158,Negotiated,Yes,54,4728070,2933548,15.67
RA-100192,Carroll-Garcia,Transportation,Canada,2025-04-20,REvil,Zero-Day Exploit,4804434,Not Paid,No,27,254156,5858895,9.11
